,Unnamed: 0,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_DESC,VAL_DATE,WEBSITE,LEVEL_,HI_OFFER,LOCALE,CLOSE_DATE,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMP,DESCRIPTION,LOGO
79,3728,139579,SOUTH UNIVERSITY-SAVANNAH,709 MALL BLVD,SAVANNAH,GA,31406,A,964,CHATHAM,13051,USA,31.99957126000004,-81.10543524699995,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-07-26T00:00:00Z,"www.southuniversity.edu/savannah#location=Savannah, GA",1,11,12,-2,1,123,695,818,146,,
80,3735,139250,COLLEGE OF COASTAL GEORGIA,ONE COLLEGE DRIVE,BRUNSWICK,GA,31520,A,3781,GLYNN,13127,USA,31.18383164200003,-81.48422074999996,JUNIOR COLLEGES,2016-08-01T00:00:00Z,www.ccga.edu/,1,30,13,-2,2,1613,1844,3457,324,,
83,3812,141006,SOUTH GEORGIA TECHNICAL COLLEGE,900 SOUTH GA TECH PARKWAY,AMERICUS,GA,31709,A,2038,SUMTER,13261,USA,32.116663,-84.188321,JUNIOR COLLEGES,2016-07-26T00:00:00Z,www.southgatech.edu/,1,40,41,-2,2,1052,762,1814,224,,
84,3849,140960,SAVANNAH STATE UNIVERSITY,3219 COLLEGE STREET,SAVANNAH,GA,31404,A,4001,CHATHAM,13051,USA,32.02478103800007,-81.06337716499996,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-01T00:00:00Z,www.savannahstate.edu/,1,20,12,-2,2,707,2781,3488,513,,
85,3994,490230,REFORMED UNIVERSITY,1724 ATKINSON ROAD,LAWRENCEVILLE,GA,30043,A,202,GWINNETT,13135,USA,33.971984546000044,-84.07804934199999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2018-11-09T00:00:00Z,runiv.edu/,1,20,21,-2,1,8,160,168,34,,
86,3998,494269,NATIONAL AMERICAN UNIVERSITY-KINGS BAY,918 USS JAMES MADISON ROAD BLDG 1030,KINGS BAY,GA,31547,A,41,CAMDEN,13039,USA,30.809739,-81.567371,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2020-11-03T00:00:00Z,www.national.edu/locations/campuses/kings-bay/,1,30,41,-2,1,35,5,40,1,,
87,4007,139700,GEORGIA HIGHLANDS COLLEGE,"3175 CEDARTOWN HIGHWAY, S.E.",ROME,GA,30161,A,6195,FLOYD,13115,USA,34.16979057900005,-85.20735620499994,JUNIOR COLLEGES,2016-07-07T00:00:00Z,www.highlands.edu/,3,30,41,-2,3,3422,2258,5680,515,,
88,4016,138558,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,2802 MOORE HWY,TIFTON,GA,31793,A,4473,TIFT,13277,USA,31.48188946600004,-83.52828134099997,JUNIOR COLLEGES,2016-08-02T00:00:00Z,https://www.abac.edu/,1,30,32,-2,2,1518,2472,3990,483,,
89,4033,483045,CENTRAL GEORGIA TECHNICAL COLLEGE,80 COHEN WALKER DRIVE,WARNER ROBINS,GA,31088,A,9038,HOUSTON,13153,USA,32.54534122700005,-83.66764997299998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-05-18T00:00:00Z,www.centralgatech.edu/,1,40,13,-2,3,6320,1820,8140,898,,
90,4094,140146,INTERDENOMINATIONAL THEOLOGICAL CENTER,700 MARTIN LUTHER KING JR DR SW,ATLANTA,GA,30314,A,359,FULTON,13121,USA,33.753523717000064,-84.41021247899994,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-06-24T00:00:00Z,www.itc.edu/,1,14,11,-2,1,131,154,285,74,,
92,4144,140562,MOREHOUSE SCHOOL OF MEDICINE,"720 WESTVIEW DRIVE, S.W.",ATLANTA,GA,30310,A,1798,FULTON,13121,USA,33.74309565500005,-84.41276279799996,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-02T00:00:00Z,www.msm.edu/,2,11,11,-2,1,31,634,665,1133,,
93,4155,434159,LINCOLN COLLEGE OF TECHNOLOGY-MARIETTA,2359 WINDY HILL ROAD,MARIETTA,GA,30067,A,539,COBB,13067,USA,33.90461862600006,-84.48394330099995,JUNIOR COLLEGES,2016-08-01T00:00:00Z,www.lincolntech.edu/campus/marietta-ga,1,40,21,-2,1,-999,496,496,43,,
94,4270,475121,SOUTH UNIVERSITY-SAVANNAH ONLINE,709 MALL BLVD,SAVANNAH,GA,31406,A,6463,CHATHAM,13051,USA,31.999481297000045,-81.10553069299993,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-05-31T00:00:00Z,www.southuniversity.edu/online#location=Online Programs,1,11,12,-2,3,1830,3575,5405,1058,,
95,4288,408862,GEORGIA INSTITUTE OF COSMETOLOGY,3529 ATLANTA HWY,ATHENS,GA,30606,A,329,CLARKE,13059,USA,33.93692174300003,-83.45556544799996,COSMETOLOGY AND BARBER SCHOOLS,2016-06-16T00:00:00Z,gic.edu/,1,0,12,-2,1,221,81,302,27,,
96,4300,139357,COLUMBUS TECHNICAL COLLEGE,928 MANCHESTER EXPY,COLUMBUS,GA,31904,A,3341,MUSCOGEE,13215,USA,32.508076268000025,-84.97855116499994,JUNIOR COLLEGES,2016-08-02T00:00:00Z,www.columbustech.edu/,3,40,12,-2,2,2055,944,2999,342,,
97,4372,478582,EMPIRE BEAUTY SCHOOL-SAVANNAH,"SAVANNAH CENTRE, 7400 ABERCORN ST, SUITE 901",SAVANNAH,GA,31406,A,151,CHATHAM,13051,USA,32.007400182000026,-81.11230694299996,COSMETOLOGY AND BARBER SCHOOLS,2016-05-19T00:00:00Z,www.empire.edu/,3,0,12,-2,1,50,88,138,13,,
98,4467,495208,WEBB'S BARBER SCHOOL OF ARTS,4356 MERCER UNIVERSITY,MACON,GA,31206,N,20,BIBB,13021,USA,32.82520134400005,-83.71057677699997,COSMETOLOGY AND BARBER SCHOOLS,2022-05-25T00:00:00Z,https://webbsbarberschoolofarts.com/,1,0,12,-2,1,-999,18,18,2,,
99,4532,141185,TOCCOA FALLS COLLEGE,107 KINCAID DRIVE,TOCCOA FALLS,GA,30598,A,1943,STEPHENS,13257,USA,34.5937021,-83.35725395499998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2015-11-19T00:00:00Z,https://tfc.edu/,1,20,32,-2,2,811,887,1698,245,,
